,id,SERIAL_NUMBER,MANUFACTURER,NAME,MODEL,LOCATION,ROOM,ENERGY_CONSUMPTION,BTU,MICROCODE,PATCH_LEVEL,CUSTOMER_ID,HOSTS_APPLICATION,TCPADDR1,TCPADDR2,TCPADDR3,SW_GUI,INVESTMENT_DATE,MAINTENANCE_EXPIRATION_DATE,MAINTENANCE_PROVIDER,MAINTENANCE_CONTRACT,IS_EXTENSION_REQUIRED,IS_MIGRATION_REQUIRED,RAID_CONFIG,USABLE_CAPACITY_GB,CAPACITY_IN_USE_GB,FREE_CAPACITY_GB,EXTENSION,COMMENT_1,STORAGE_TYPE,READADMIN,RACK,COST_CENTER,CO2_KG,SECOND_INVESTMENT_DATE
56,1188,75BAHM0,IBM,SVCF05,2145-DH8,FFM,M7,220,650,,7.7.1.6,879430,SVC_Prod,10.21.151.110,10.21.151.111-118,,,31.03.2015,31.03.2019,IBM,,,,,,,,"75BAHX0, 75BAHR0, 75BAHV0, 75BAHL0, 75BAHZ0, 75BAHY0, 75BAHK0",DH8,Virtualisierung,done,H14,3310-601,0.13,
57,1187,1322234,IBM,FLDUS01,9843-AE1,DUS,H1M3,1200,,,,323087,MMS/-Inter/HO,10.16.72.46,10.16.72.47,10.16.72.48,,31.03.2015,31.03.2019,IBM,,,,,38500.0,,,,,Flash Block,,G7,3310-601,0.72,
58,1186,1322219,IBM,FLDUS02,9843-AE1,DUS,H2M4,1200,,,,323087,MMS/-Inter/HO,10.16.72.49,10.16.72.50,10.16.72.51,,31.03.2015,31.03.2019,IBM,,,,,38500.0,,,,,Flash Block,,F8,3310-601,0.72,
59,1185,7812373,IBM,XIV11,2812 114 G3,DUS,H1M3,17303,"59213,874",15 Module,,323087,MMS/-Inter/HO,10.16.72.40,10.16.72.41,10.16.72.42,,31.03.2015,31.03.2019,IBM,,,,,325500.0,,,,,,,F2,3310-601,10.4,
60,1184,7812372,IBM,XIV12,2812 114 G3,DUS,H2M4,17303,"59213,874",15 Module,,323087,MMS/-Inter/HO,10.16.72.43,10.16.72.44,10.16.72.45,,31.03.2015,31.03.2019,IBM,,,,,325500.0,,,,,,,F9,3310-601,10.4,
61,1171,1322289,IBM,FLFFM01,9843-AE1,FFM,M2,1200,,,,879430,MMS/-Inter/Siebel,10.21.151.14,10.21.151.15,,,31.03.2015,31.03.2019,IBM,,,,,38500.0,,,,,Flash Block,,A18,3310-601,0.72,
62,1170,1322291,IBM,FLFFM02,9843-AE1,FFM,M2,1200,,,,879430,MMS/-Inter/Siebel,10.21.151.17,10.21.151.18,,,31.03.2015,31.03.2019,IBM,,,,,38500.0,,,,,Flash Block,,A18,3310-601,0.72,
63,1169,1322366,IBM,FLDUS03,9843-AE1,DUS,H2 M6,1200,,,,323087,VDI,10.16.72.55,,,,31.03.2015,31.03.2019,IBM,,,,,38500.0,,,,,Flash Block,,C7,3310-601,0.72,
64,1168,1322371,IBM,FLFFM04,9843-AE1,FFM,M7,1200,,,,879430,MMS/-Inter/Siebel,10.21.151.119,10.21.151.120,,,31.03.2015,31.03.2019,IBM,,,,,38500.0,,,,,Flash Block,,H14,3310-601,0.72,
65,1167,1322235,IBM,FLFFM05,9843-AE1,FFM,M7,1200,,,,879430,MMS/-Inter/Siebel,10.21.151.122,10.21.151.123,,,31.03.2015,31.03.2019,IBM,,,,,38500.0,,,,,Flash Block,,H14,3310-601,0.72,
